؋	ಅಫ್ಗಾನ аф್ಗಾನಿ
l	ಅಲ್ಬೇನಿಯನ್ ಲೆಕ್
دج	ಅಲ್ಜೀರಿಯನ್ ದಿನಾರ್
kz	ಅಂಗೋಲಿನ್ ಕ್ವಾನ್‌ಝಾ
aed	ಅರಬ್ ಅಮೀರಾತ್ ದಿರಹಮ್
$	ಅರ್ಜೆಂಟೀನಿಯನ್ ಪೆಸೋ
֏	ಆರ್ಮೇನಿಯನ್ ಡ್ರಾಮ್
ƒ	ಅರೂಬನ್ ಫ್ಲೋರಿನ್
a$	ಆಸ್ಟ್ರೇಲಿಯನ್ ಡಾಲರ್
₼	ಅಜರ್ಬೈಜಾನಿ ಮನಾಟ್
b$	ಬಹಾಮಿಯನ್ ಡಾಲರ್
.د.ب	ಬಹರೈನಿ ದಿರಹಮ್
৳	ಬಾಂಗ್ಲಾದೇಶಿ ಟಕಾ
$	ಬಾರ್ಬೇಡಿಯನ್ ಡಾಲರ್
br	ಬೆಲಾರುಸಿಯನ್ ರೂಬಲ್
bz$	ಬೆಲೀಜ್ ಡಾಲರ್
$	ಬರ್ಮುಡಿಯನ್ ಡಾಲರ್
nu	ಭೂತಾನಿ ಙುಲ್ತ್ರುಮ್
₿	ಬಿಟ್‌ಕಾಯಿನ್
bs	ಬೋಲಿವಿಯನ್ ಬೋಲಿವಿಯಾನೋ
km	ಬೋಸ್‌ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ ಮಾರ್ಕ್
p	ಬೋತ್ಸವಾನಾ ಪುಲಾ
r$	ಬ್ರೆಜೀಲು ಪ್ರಿಯಾಲ್
£	ಬ್ರಿಟಿಷ್ ಪೌಂಡ್
£	ಪೌಂಡ್
b$	ಬ್ರೂನೇಯಿ ಡಾಲರ್
лв	ಬುಲ್ಗೇರಿಯನ್ ಲೇವ್
fbu	ಬುರುಂಡಿ ಫ್ರಾಂಕ್
៛	ಕಾಂಬೋಡಿಯನ್ ರಿಯಲ್
ca$	ಕನಡಾ ಡಾಲರ್
cve	ಕೇಪ್ ವರ್ಡೆ ಎಸ್ಕುಡೋ
cve	ಕೇಪ್ ವರ್ಡಿಯನ್ ಎಸ್ಕುಡೋ
ci$	ಕೇಮನ್ ಐಲ್ಯಾಂಡ್ ಡಾಲರ್
cfa	ಸಿಎಫ್ಏ ಫ್ರಾಂಕ್
$	ಚಿಲಿ ಪೆಸೋ
元	ಚೀನಾ ಯುಯಾನ್
$	ಕೋಲಂಬಿಯನ್ ಪೆಸೋ
cf	ಕೊಮೋರಿ ಫ್ರಾಂಕ್
fc	ಕಾಂಗೋಲಿಸ್ ಫ್ರಾಂಕ್
₡	ಕೋಸ್ಟಾ ರಿಕಾ ಕೋಲನ್
kn	ಕ್ರೋएಶಿಯನ್ ಕುನಾ
cuc$	ಕ್ಯೂಬನ್ ಪೆಸೋ
cyp	ಸೈಪ್ರಸ್ ಪೌಂಡ್
kč	ಚೇಕ್ ಕೊರೋನ
d	ಡಾಲಸಿ
kr	ಡೆನಿಷ್ ಕ್ರೋನ್
fdj	ಜಿಬೂತಿ ಫ್ರಾಂಕ್
$	ಡಾಲರ್
rd$	ಡೊಮಿನಿಕನ್ ಪೆಸೋ
$	ಪೂರ್ವ ಕೇರಿಬಿಯನ್ ಡಾಲರ್
e£	ಮಿಸ್ರೀ ಪೌಂಡ್
aed	ಅಮೀರಾತಿ ದಿರಹಮ್
nkf	ಇರಿತ್ರಿಯನ್ ನಕ್ಫಾ
Ξ	ಇಥೀರಿಯಮ್
br	ಈಥಿಯೋಪಿಯನ್ ಬಿರ್ಕ್
€	ಯೂರೋ
fk£	ಫಾಲ್ಕ್ಲ್ಯಾಂಡ್ ಐಲ್ಯಾಂಡ್ ಪೌಂಡ್
fim	ಫಿನ್ನಿಷ್ ಮಾರ್ಕ್ಕಾ
₾	ಜಾರ್ಜಿಯನ್ ಲಾರಿ
dm	ಜರ್ಮನ್ ಮಾರ್ಕ್
gh₵	ಘಾನಿಯನ್ ಸೇಡಿ
q	ಗ್ವಾಟೆಮಾಲನ್ ಕೇಟ್ಜಲ್
fg	ಗಿನಿ ಫ್ರಾಂಕ್
g$	ಗಯಾನಿ ಡಾಲರ್
g	ಹೈತಿ ಗೋರ್ಡ್
l	ಹೋಂಡುರಾಸ್ ಲೆಂಪಿರಾ
hk$	ಹಾಂಗ್ ಕಾಂಗ ಡಾಲರ್
ft	ಹಂಗೇರಿಯನ್ ಫೋರೆಂಟ
íkr	ಐಸ್ಲ್ಯಾಂಡಿಕ್ ಕ್ರೋನ
₹	ಭಾರತೀಯ ರೂಪಾಯಿ
₹	ರೂಪಾಯಿ
₹	ರೂಪಿಯಾ
₹	ರೂಪೇಯ
₹	ರೂಪಾಯಿ
₹	ರೂಪಾಯ
p	ಪೈಸ
p	ಪೈಸೆ
rp	ಇಂಡೋನೇಶಿಯನ್ ರೂಪಿಯಾ
﷼	ಇರಾನಿ ರಿಯಾಲ
ع.د	ಇರಾಕಿ ದಿನಾರ್
